 htf_min  mult  signals  long  short  index_pts  index_win_%  naked_call_buy  naked_put_sell  bull_call_spread  naked_put_buy
       0   2.5       32    16     16     -472.6         18.8          -14363            5282             -5190         -29426
       0   3.0       23    14      9       41.3         30.4            1643           27409              7460         -25315
       0   3.5       17    12      5      342.5         29.4           -2371           30770             -3173         -14065
      30   2.5       10     6      4     -286.1         20.0          -22391           -3620             -9255            279
      30   3.0        6     4      2     -471.4         16.7          -18717            1474             -6778          -7224
      30   3.5        4     3      1      -21.2         50.0           -9478            3574             -2339          -3123
      45   2.5       11     8      3     -520.6          9.1          -17951           -1989             -8078          -7927
      45   3.0        8     4      4     -523.4         25.0          -16256           -3354             -6457         -11715
      45   3.5        8     5      3     -250.2         25.0          -15067           -2993             -6488          -6195
      60   2.5       13     9      4     -625.3         15.4          -22418           -8091            -11373         -10805
      60   3.0       12     6      6     -369.3         33.3          -20495           -2679             -8811         -12890
      60   3.5        8     4      4     -264.5         25.0          -15723            1667             -9238         -11823
      75   2.5       16    12      4     -737.2         12.5          -42471          -13987            -21897          -7286
      75   3.0       10     8      2     -507.6         30.0          -35781           -6187            -16256          -5157
      75   3.5        9     6      3     -399.8         22.2          -25252           -1195            -14415          -9487
     125   2.5       16     8      8     -641.7         12.5          -26230           -7715            -14049         -12883
     125   3.0       14     8      6     -135.1         35.7          -10018           10642              3959         -14463
     125   3.5       12     8      4     -257.8         33.3          -21136           10280            -11122         -13112

best baseline index pts: +342.5
best filtered index pts: -21.2
