side,signal_time,entry_time,exit_time,spot_entry,spot_stop,spot_exit,reason,points,risk_pts,r,bars_held
SHORT,2026-06-05 13:15:00+05:30,2026-06-05 13:30:00+05:30,2026-06-05 14:30:00+05:30,23310.5,23360.8,23360.8,SL,-50.3,50.3,-1.0,4
LONG,2026-06-09 14:30:00+05:30,2026-06-09 14:45:00+05:30,2026-06-10 14:30:00+05:30,23260.5,23203.0,23261.6,ST_FLIP,1.1,57.5,0.019,24
LONG,2026-06-11 11:45:00+05:30,2026-06-11 12:00:00+05:30,2026-06-11 13:15:00+05:30,23291.25,23251.05,23251.05,SL,-40.2,40.2,-1.0,5
SHORT,2026-06-11 14:45:00+05:30,2026-06-11 15:00:00+05:30,2026-06-12 09:15:00+05:30,23162.5,23209.6,23420.7,SL,-258.2,47.1,-5.482,2
SHORT,2026-06-19 09:15:00+05:30,2026-06-19 09:30:00+05:30,2026-06-19 10:00:00+05:30,23940.45,23991.2,23991.2,SL,-50.75,50.75,-1.0,2
LONG,2026-06-19 15:00:00+05:30,2026-06-19 15:15:00+05:30,2026-06-23 11:45:00+05:30,24042.4,23904.45,23982.65,ST_FLIP,-59.75,137.95,-0.433,36
LONG,2026-06-24 10:15:00+05:30,2026-06-24 11:00:00+05:30,2026-06-25 14:00:00+05:30,23970.1,23910.9,24138.65,ST_FLIP,168.55,59.2,2.847,37
LONG,2026-07-01 11:00:00+05:30,2026-07-01 11:15:00+05:30,2026-07-03 14:15:00+05:30,24020.5,23975.2,24267.8,ST_FLIP,247.3,45.3,5.459,62
LONG,2026-07-06 09:15:00+05:30,2026-07-06 09:30:00+05:30,2026-07-07 15:00:00+05:30,24359.1,24290.05,24397.85,ST_FLIP,38.75,69.05,0.561,47
LONG,2026-07-09 09:15:00+05:30,2026-07-09 09:30:00+05:30,2026-07-09 15:00:00+05:30,24038.05,23930.05,23930.05,SL,-108.0,108.0,-1.0,22
LONG,2026-07-13 12:00:00+05:30,2026-07-13 12:15:00+05:30,2026-07-14 09:15:00+05:30,24195.1,24139.65,24092.75,SL,-102.35,55.45,-1.846,13
SHORT,2026-07-14 09:30:00+05:30,2026-07-14 09:45:00+05:30,2026-07-15 09:15:00+05:30,24079.7,24147.35,24147.35,SL,-67.65,67.65,-1.0,23
LONG,2026-07-17 09:15:00+05:30,2026-07-17 09:30:00+05:30,2026-07-20 09:15:00+05:30,24211.4,24100.9,24191.7,ST_FLIP,-19.7,110.5,-0.178,24
LONG,2026-07-24 12:15:00+05:30,2026-07-24 12:30:00+05:30,2026-08-04 11:45:00+05:30,23792.1,23701.35,24524.15,ST_FLIP,732.05,90.75,8.067,172
LONG,2026-08-04 15:15:00+05:30,2026-08-05 09:15:00+05:30,2026-08-05 13:30:00+05:30,24669.2,24463.45,24503.15,ST_FLIP,-166.05,205.75,-0.807,17
LONG,2026-08-05 15:15:00+05:30,2026-08-06 09:15:00+05:30,2026-08-07 09:15:00+05:30,24632.7,24570.2,24535.05,SL,-97.65,62.5,-1.562,25
SHORT,2026-08-07 10:15:00+05:30,2026-08-07 10:30:00+05:30,2026-08-10 09:15:00+05:30,24562.95,24601.65,24601.65,SL,-38.7,38.7,-1.0,20
LONG,2026-08-12 14:45:00+05:30,2026-08-12 15:15:00+05:30,2026-08-13 09:30:00+05:30,24384.9,24316.75,24316.75,SL,-68.15,68.15,-1.0,2
SHORT,2026-08-17 09:15:00+05:30,2026-08-17 09:30:00+05:30,2026-08-17 12:45:00+05:30,24283.05,24357.6,24333.95,ST_FLIP,-50.9,74.55,-0.683,13
SHORT,2026-08-18 09:15:00+05:30,2026-08-18 10:00:00+05:30,2026-08-20 09:15:00+05:30,24214.6,24269.5,24190.8,ST_FLIP,23.8,54.9,0.433,47
SHORT,2026-08-24 11:00:00+05:30,2026-08-24 11:15:00+05:30,2026-08-24 15:15:00+05:30,24209.6,24255.0,24219.05,ST_FLIP,-9.45,45.4,-0.208,16
SHORT,2026-08-25 09:45:00+05:30,2026-08-25 10:00:00+05:30,2026-08-25 10:45:00+05:30,24133.8,24166.1,24166.1,SL,-32.3,32.3,-1.0,3
LONG,2026-08-25 14:30:00+05:30,2026-08-25 14:45:00+05:30,2026-08-26 13:15:00+05:30,24215.6,24173.4,24265.45,ST_FLIP,49.85,42.2,1.181,19
