side,signal_time,entry_time,exit_time,spot_entry,spot_stop,spot_exit,reason,points,risk_pts,r,structure,strike,expiry,iv,rolls,prem_in,prem_out,pnl_pts,pnl_rs,debit
SHORT,2026-06-05 13:15:00+05:30,2026-06-05 13:30:00+05:30,2026-06-05 14:30:00+05:30,23310.5,23360.8,23360.8,SL,-50.3,50.3,-1.0,naked_put_buy,23300,2026-06-11 15:30:00+05:30,0.1445,0,156.05,133.38,-25.57,-1918.0,True
SHORT,2026-06-05 13:15:00+05:30,2026-06-05 13:30:00+05:30,2026-06-05 14:30:00+05:30,23310.5,23360.8,23360.8,SL,-50.3,50.3,-1.0,naked_call_sell,23300,2026-06-11 15:30:00+05:30,0.1445,0,-191.78,-219.23,-31.56,-2367.0,False
SHORT,2026-06-05 13:15:00+05:30,2026-06-05 13:30:00+05:30,2026-06-05 14:30:00+05:30,23310.5,23360.8,23360.8,SL,-50.3,50.3,-1.0,bear_call_spread,23300,2026-06-11 15:30:00+05:30,0.1445,0,-87.57,-96.62,-10.89,-817.0,False
SHORT,2026-06-05 13:15:00+05:30,2026-06-05 13:30:00+05:30,2026-06-05 14:30:00+05:30,23310.5,23360.8,23360.8,SL,-50.3,50.3,-1.0,bear_put_spread,23300,2026-06-11 15:30:00+05:30,0.1445,0,76.26,67.63,-10.07,-756.0,True
LONG,2026-06-09 14:30:00+05:30,2026-06-09 14:45:00+05:30,2026-06-10 14:30:00+05:30,23260.5,23203.0,23261.6,ST_FLIP,1.1,57.5,0.019,naked_call_buy,23250,2026-06-11 15:30:00+05:30,0.1398,0,106.47,67.03,-41.18,-3088.0,True
LONG,2026-06-09 14:30:00+05:30,2026-06-09 14:45:00+05:30,2026-06-10 14:30:00+05:30,23260.5,23203.0,23261.6,ST_FLIP,1.1,57.5,0.019,naked_put_sell,23250,2026-06-11 15:30:00+05:30,0.1398,0,-87.56,-51.11,35.06,2629.0,False
LONG,2026-06-09 14:30:00+05:30,2026-06-09 14:45:00+05:30,2026-06-10 14:30:00+05:30,23260.5,23203.0,23261.6,ST_FLIP,1.1,57.5,0.019,bull_call_spread,23250,2026-06-11 15:30:00+05:30,0.1398,0,74.17,59.47,-16.04,-1203.0,True
LONG,2026-06-09 14:30:00+05:30,2026-06-09 14:45:00+05:30,2026-06-10 14:30:00+05:30,23260.5,23203.0,23261.6,ST_FLIP,1.1,57.5,0.019,bull_put_spread,23250,2026-06-11 15:30:00+05:30,0.1398,0,-63.6,-46.54,15.96,1197.0,False
LONG,2026-06-11 11:45:00+05:30,2026-06-11 12:00:00+05:30,2026-06-11 13:15:00+05:30,23291.25,23251.05,23251.05,SL,-40.2,40.2,-1.0,naked_call_buy,23300,2026-06-11 15:30:00+05:30,0.1185,0,18.18,3.04,-15.35,-1151.0,True
LONG,2026-06-11 11:45:00+05:30,2026-06-11 12:00:00+05:30,2026-06-11 13:15:00+05:30,23291.25,23251.05,23251.05,SL,-40.2,40.2,-1.0,naked_put_sell,23300,2026-06-11 15:30:00+05:30,0.1185,0,-26.32,-51.6,-26.06,-1954.0,False
LONG,2026-06-11 11:45:00+05:30,2026-06-11 12:00:00+05:30,2026-06-11 13:15:00+05:30,23291.25,23251.05,23251.05,SL,-40.2,40.2,-1.0,bull_call_spread,23300,2026-06-11 15:30:00+05:30,0.1185,0,18.18,3.04,-15.35,-1151.0,True
LONG,2026-06-11 11:45:00+05:30,2026-06-11 12:00:00+05:30,2026-06-11 13:15:00+05:30,23291.25,23251.05,23251.05,SL,-40.2,40.2,-1.0,bull_put_spread,23300,2026-06-11 15:30:00+05:30,0.1185,0,-26.32,-51.6,-26.06,-1954.0,False
SHORT,2026-06-11 14:45:00+05:30,2026-06-11 15:00:00+05:30,2026-06-12 09:15:00+05:30,23162.5,23209.6,23420.7,SL,-258.2,47.1,-5.482,naked_put_buy,23150,2026-06-11 15:30:00+05:30,0.1185,1,3.46,70.79,-78.99,-5924.0,True
SHORT,2026-06-11 14:45:00+05:30,2026-06-11 15:00:00+05:30,2026-06-12 09:15:00+05:30,23162.5,23209.6,23420.7,SL,-258.2,47.1,-5.482,naked_call_sell,23150,2026-06-11 15:30:00+05:30,0.1185,1,-16.04,-317.34,-183.55,-13766.0,False
SHORT,2026-06-11 14:45:00+05:30,2026-06-11 15:00:00+05:30,2026-06-12 09:15:00+05:30,23162.5,23209.6,23420.7,SL,-258.2,47.1,-5.482,bear_call_spread,23150,2026-06-11 15:30:00+05:30,0.1185,1,-16.04,-126.5,-67.67,-5075.0,False
SHORT,2026-06-11 14:45:00+05:30,2026-06-11 15:00:00+05:30,2026-06-12 09:15:00+05:30,23162.5,23209.6,23420.7,SL,-258.2,47.1,-5.482,bear_put_spread,23150,2026-06-11 15:30:00+05:30,0.1185,1,3.46,41.23,-40.34,-3026.0,True
SHORT,2026-06-19 09:15:00+05:30,2026-06-19 09:30:00+05:30,2026-06-19 10:00:00+05:30,23940.45,23991.2,23991.2,SL,-50.75,50.75,-1.0,naked_put_buy,23950,2026-06-25 15:30:00+05:30,0.147,0,175.28,151.7,-26.85,-2014.0,True
SHORT,2026-06-19 09:15:00+05:30,2026-06-19 09:30:00+05:30,2026-06-19 10:00:00+05:30,23940.45,23991.2,23991.2,SL,-50.75,50.75,-1.0,naked_call_sell,23950,2026-06-25 15:30:00+05:30,0.147,0,-192.38,-219.45,-31.2,-2340.0,False
SHORT,2026-06-19 09:15:00+05:30,2026-06-19 09:30:00+05:30,2026-06-19 10:00:00+05:30,23940.45,23991.2,23991.2,SL,-50.75,50.75,-1.0,bear_call_spread,23950,2026-06-25 15:30:00+05:30,0.147,0,-85.04,-93.64,-10.39,-779.0,False
SHORT,2026-06-19 09:15:00+05:30,2026-06-19 09:30:00+05:30,2026-06-19 10:00:00+05:30,23940.45,23991.2,23991.2,SL,-50.75,50.75,-1.0,bear_put_spread,23950,2026-06-25 15:30:00+05:30,0.147,0,80.7,72.34,-9.88,-741.0,True
