symbol,trades,win_rate,total_pct,avg_R
TITAN,1,100.0,14.72,6.75
ETERNAL,4,75.0,13.67,1.75
HEROMOTOCO,2,50.0,10.12,4.12
HCLTECH,1,100.0,9.64,7.75
INFY,2,50.0,3.94,0.67
ICICIBANK,1,100.0,1.75,0.73
KOTAKBANK,1,100.0,1.5,1.83
HDFCBANK,1,100.0,1.49,1.26
NESTLEIND,1,100.0,0.86,0.32
BAJFINANCE,1,100.0,0.02,0.01
HINDUNILVR,1,0.0,-0.05,-0.02
JSWSTEEL,1,0.0,-0.37,-0.21
GRASIM,2,50.0,-0.57,-0.43
SHRIRAMFIN,1,0.0,-0.58,-1.0
RELIANCE,1,0.0,-0.59,-0.28
ASIANPAINT,1,0.0,-0.86,-1.0
LT,1,0.0,-0.95,-1.0
WIPRO,1,0.0,-1.37,-1.0
CIPLA,1,0.0,-1.64,-1.0
INDUSINDBK,1,0.0,-1.9,-1.0
JIOFIN,1,0.0,-2.05,-1.0
TATASTEEL,1,0.0,-2.27,-1.0
SBILIFE,2,0.0,-2.46,-1.0
TCS,2,0.0,-2.76,-1.0
MARUTI,2,50.0,-2.94,-0.38
ADANIENT,3,0.0,-3.61,-0.56
M&M,2,0.0,-3.66,-0.97
