atr,mult,entry_window,trades,win_rate,expectancy_R,profit_factor,avg_pct,avg_win,avg_loss,total_pct,avg_bars
14,3.0,1,13,38.5,0.527,1.76,0.74,4.44,-1.57,9.6,22.8
14,2.0,1,39,35.9,0.449,1.92,0.746,4.35,-1.27,29.1,14.0
7,2.0,1,42,33.3,0.437,1.42,0.401,4.06,-1.43,16.9,15.4
14,3.0,2,14,35.7,0.436,1.56,0.572,4.44,-1.58,8.0,23.0
14,2.0,2,48,33.3,0.412,1.88,0.712,4.55,-1.21,34.2,14.9
14,2.0,3,55,36.4,0.39,1.93,0.7,3.99,-1.18,38.5,15.3
7,2.0,2,50,32.0,0.387,1.49,0.441,4.19,-1.32,22.0,15.3
7,1.5,1,51,47.1,0.358,1.78,0.539,2.62,-1.31,27.5,12.7
7,2.0,3,56,32.1,0.322,1.41,0.36,3.86,-1.3,20.2,14.8
14,1.5,1,53,43.4,0.308,1.56,0.41,2.63,-1.3,21.7,12.6
10,1.5,1,55,43.6,0.293,1.51,0.375,2.55,-1.31,20.6,12.2
7,3.0,1,16,31.2,0.259,1.4,0.418,4.68,-1.52,6.7,19.9
10,2.0,2,45,31.1,0.229,1.55,0.473,4.29,-1.25,21.3,15.2
7,1.5,2,59,40.7,0.206,1.4,0.307,2.62,-1.28,18.1,11.7
10,1.5,3,70,38.6,0.203,1.38,0.301,2.85,-1.3,21.0,12.2
7,1.5,3,69,39.1,0.202,1.47,0.362,2.88,-1.26,25.0,11.7
14,1.5,3,73,38.4,0.186,1.43,0.334,2.9,-1.26,24.4,12.2
10,1.5,2,62,38.7,0.164,1.23,0.184,2.55,-1.31,11.4,11.5
14,3.0,3,18,27.8,0.161,1.13,0.139,4.44,-1.52,2.5,21.8
14,1.5,2,63,38.1,0.157,1.3,0.235,2.69,-1.28,14.8,11.5
10,2.0,3,54,31.5,0.147,1.44,0.364,3.8,-1.21,19.7,14.2
10,2.0,1,38,31.6,0.14,1.4,0.363,4.0,-1.32,13.8,13.5
7,3.0,2,18,27.8,0.126,1.2,0.215,4.68,-1.5,3.9,19.1
7,3.0,3,22,22.7,-0.043,0.92,-0.092,4.68,-1.5,-2.0,19.0
10,3.0,1,14,35.7,-0.239,1.4,0.386,3.8,-1.51,5.4,21.0
10,3.0,2,15,33.3,-0.272,1.25,0.252,3.8,-1.52,3.8,21.3
10,3.0,3,19,26.3,-0.383,0.92,-0.091,3.8,-1.48,-1.7,20.5
